,,,,,,
,,,,,,
Base Aggregate Report,,,,,,
,,,,,,
,,,,,,
,Base Number,Base Name,,Pick Up Date,Number of Trips,Number of Vehicles
,B00887,DIAL 7 CAR & LIMOUSINE SERVICE INC.,,01/02/2015," 1,867 ", 651 
,B00919,HARLEM CARS INC.,,01/02/2015, 594 , 76 
,B00948,510 CAR SERVICE CORP,,01/02/2015, 643 , 58 
,B01066,DOMINICANA RAD DISP INC,,01/02/2015, 674 , 84 
,B01083,BROAD DYCKMAN C/S INC,,01/02/2015, 830 , 98 
,B01087,ELITE LIMO PLUS INC,,01/02/2015, 142 , 88 
,B01148,EVELYN CAR SERVICE INC,,01/02/2015, 451 , 61 
,B01197,"TEL-A-CAR OF NEW YORK, LLC",,01/02/2015, 76 , 32 
,B01282,NEW LOTS C/S INC,,01/02/2015," 1,117 ", 71 
,B01285,UNION RADIO DISPATCH INC,,01/02/2015," 1,341 ", 140 
,B01300,KENNEDY RAD DISP INC,,01/02/2015, 705 , 108 
,B01312,BROOKLYN RAD DISP INC,,01/02/2015, 506 , 96 
,B01313,JOY CAR SERVICES INC.,,01/02/2015, 8 , 8 
,B01315,"V.I.T. CAR SERVICE, INC.",,01/02/2015," 1,592 ", 143 
,B01341,A NEW DAY RAD DISP INC,,01/02/2015," 1,062 ", 138 
,b01346,ARECIBO C/S INC,,01/02/2015, 684 , 106 
,B01367    ,"ROYAL DISPATCH SERVICES, INC.",,01/02/2015, 52 , 23 
,B01386,FENIX CAR SVCE CORP,,01/02/2015," 2,170 ", 183 
,B01522,"STM ENTERPRISES,INC",,01/02/2015, 66 , 14 
,B01651,U.P.S. RADIO DISPATCH CORP.,,01/02/2015, 411 , 56 
,B01777,PREMIUM RADIO DISP & MULTI SVC,,01/02/2015, 677 , 131 
,B01848,GRAND LIMO & CAR SERVICE INC.,,01/02/2015, 11 , -   
,B01877,U.S.A. LIMO. INC.,,01/02/2015, 76 , 43 
,B01899,"ALLSTATE PRIVATE CAR & LIMO,INC",,01/02/2015, 726 , 88 
,B01949,FIRST CLASS OF NEW YORK INC.,,01/02/2015, 1 , 1 
,B01984,NY 88 EXPRESS CORP.,,01/02/2015, 448 , 85 
,B01990,SUK INCORPORATED,,01/02/2015, 22 , 9 
,B02003,"AVALON CORPORATE CAR,INC.",,01/02/2015, 41 , 33 
,B02022,GOLD SEAL CAR & LIMO INC.,,01/02/2015, 11 , 7 
,B02096,"CET GROUP, INC",,01/02/2015, 7 , 7 
,B02107,APOLLO RADIO DISPATCH INC.,,01/02/2015, 806 , 87 
,B02120,HARRISON GLOBAL LLC,,01/02/2015, 123 , 56 
,B02147,"MITA LIMOUSINE, INC.",,01/02/2015, 8 , 4 
,B02183,BANGLA CAR & LIMO. SERVICE INC.,,01/02/2015, 12 , 12 
,B02285,"VALERA GLOBAL, INC.",,01/02/2015, 38 , 29 
,B02475,ECKFORD LITE CAR & LIMO INC.,,01/02/2015, 15 , 7 
,B02513,"INTABORO PREMIERE TRANSP. SVCS., INC.",,01/02/2015, 6 , 3 
,B02566,GSL LIMOUSINES CORP.,,01/02/2015, 7 , 5 
,B02569,GOGREENRIDE INC.,,01/02/2015, 49 , 1 
,B02653,NEW COLLEGE CAR SVCE INC,,01/02/2015," 1,122 ", 111 
,B02715,GROUNDANYWHERE LLC,,01/02/2015, 114 , 53 
,B00013,LOVE CORP CAR INC,,01/03/2015, 62 , 34 
,B00014,NY ONE CORP CAR INC,,01/03/2015, 126 , 62 
,B00029,COMMUNITY CAR SVC CORP,,01/03/2015," 1,127 ", 43 
,B00053,CHARGE AND RIDE INC,,01/03/2015, 21 , 18 
,B00095,LIBERTY CAR SERVICE INC.,,01/03/2015," 1,053 ", 82 
,B00221,PROFESSIONAL CAR SERVICE INC,,01/03/2015, 345 , 64 
,B00227,"PARK WEST EXEC. SERVICES, INC.",,01/03/2015, 75 , 48 
,B00248,YELLOWSTONE TRANSPORTATION INC.,,01/03/2015, 964 , 125 
,B00254,XYZ TWO WAY RADIO,,01/03/2015, 267 , 114 
,B00280,FLEET RADIO DISPATCH CORP.,,01/03/2015, 103 , 43 
,B00310,WATSON CAR SERVICE INC.,,01/03/2015," 1,804 ", 151 
,B00381,BELL RADIO INC,,01/03/2015, 58 , 27 
,B00412,NYC 2 WAY INTERNATIONAL LTD,,01/03/2015, 135 , 29 
,B00448,DIAL CAR INC.,,01/03/2015, 1 , 1 
,B00457,PREMIUM BRONX CORP,,01/03/2015," 1,333 ", 117 
,B00477,INTA-BORO ACRES INC,,01/03/2015, 93 , 46 
,B00552,HINO-MARU ENTERPRISES INC.,,01/03/2015, 9 , 7 
,B00623,MANHATTAN INT'L LIMO NETWORK LLC,,01/03/2015, 6 , 3 
,B00837,CAREY LIMO N Y INC,,01/03/2015, 161 , 61 
,B00887,DIAL 7 CAR & LIMOUSINE SERVICE INC.,,01/03/2015," 2,033 ", 616 
,B00919,HARLEM CARS INC.,,01/03/2015, 718 , 68 
,B00948,510 CAR SERVICE CORP,,01/03/2015, 722 , 59 
,B01020,MICHAELS CAR SERVICE INC.,,01/03/2015, 1 , 1 
,B01066,DOMINICANA RAD DISP INC,,01/03/2015, 829 , 88 
,B01083,BROAD DYCKMAN C/S INC,,01/03/2015, 846 , 83 
,B01087,ELITE LIMO PLUS INC,,01/03/2015, 160 , 82 
,B01148,EVELYN CAR SERVICE INC,,01/03/2015, 528 , 56 
,B01197,"TEL-A-CAR OF NEW YORK, LLC",,01/03/2015, 53 , 33 
,B01282,NEW LOTS C/S INC,,01/03/2015," 1,042 ", 67 
,B01285,UNION RADIO DISPATCH INC,,01/03/2015," 1,546 ", 147 
,B01300,KENNEDY RAD DISP INC,,01/03/2015, 853 , 115 
,B01312,BROOKLYN RAD DISP INC,,01/03/2015, 444 , 75 
,B01313,JOY CAR SERVICES INC.,,01/03/2015, 5 , 5 
,B01315,"V.I.T. CAR SERVICE, INC.",,01/03/2015," 1,584 ", 140 
,B01341,A NEW DAY RAD DISP INC,,01/03/2015," 1,004 ", 137 
,b01346,ARECIBO C/S INC,,01/03/2015, 840 , 114 
,B01367    ,"ROYAL DISPATCH SERVICES, INC.",,01/03/2015, 32 , 19 
,B01386,FENIX CAR SVCE CORP,,01/03/2015," 2,720 ", 192 
,B01522,"STM ENTERPRISES,INC",,01/03/2015, 81 , 15 
,B01651,U.P.S. RADIO DISPATCH CORP.,,01/03/2015, 387 , 52 
,B01777,PREMIUM RADIO DISP & MULTI SVC,,01/03/2015, 826 , 122 
,B01848,GRAND LIMO & CAR SERVICE INC.,,01/03/2015, 10 , -   
,B01877,U.S.A. LIMO. INC.,,01/03/2015, 75 , 49 
,B01899,"ALLSTATE PRIVATE CAR & LIMO,INC",,01/03/2015, 874 , 83 
,B01984,NY 88 EXPRESS CORP.,,01/03/2015, 238 , 69 
,B01990,SUK INCORPORATED,,01/03/2015, 32 , 13 
,B02003,"AVALON CORPORATE CAR,INC.",,01/03/2015, 42 , 28 
,B02022,GOLD SEAL CAR & LIMO INC.,,01/03/2015, 12 , 5 
,B02096,"CET GROUP, INC",,01/03/2015, 4 , 4 
,B02107,APOLLO RADIO DISPATCH INC.,,01/03/2015, 836 , 86 
,B02120,HARRISON GLOBAL LLC,,01/03/2015, 82 , 36 
,B02147,"MITA LIMOUSINE, INC.",,01/03/2015, 24 , 5 
,B02183,BANGLA CAR & LIMO. SERVICE INC.,,01/03/2015, 6 , 6 
,B02285,"VALERA GLOBAL, INC.",,01/03/2015, 56 , 30 
,B02475,ECKFORD LITE CAR & LIMO INC.,,01/03/2015, 13 , 6 
,B02513,"INTABORO PREMIERE TRANSP. SVCS., INC.",,01/03/2015, 5 , 2 
,B02566,GSL LIMOUSINES CORP.,,01/03/2015, 1 , 1 
,B02569,GOGREENRIDE INC.,,01/03/2015, 56 , 1 
,B02653,NEW COLLEGE CAR SVCE INC,,01/03/2015," 1,281 ", 110 
,B02715,GROUNDANYWHERE LLC,,01/03/2015, 136 , 51 
,B00013,LOVE CORP CAR INC,,01/04/2015, 76 , 42 
,B00014,NY ONE CORP CAR INC,,01/04/2015, 108 , 61 
,B00029,COMMUNITY CAR SVC CORP,,01/04/2015," 1,230 ", 39 
,B00053,CHARGE AND RIDE INC,,01/04/2015, 16 , 14 
,B00095,LIBERTY CAR SERVICE INC.,,01/04/2015, 733 , 76 
,B00221,PROFESSIONAL CAR SERVICE INC,,01/04/2015, 224 , 50 
,B00227,"PARK WEST EXEC. SERVICES, INC.",,01/04/2015, 118 , 61 
,B00248,YELLOWSTONE TRANSPORTATION INC.,,01/04/2015, 877 , 108 
,B00254,XYZ TWO WAY RADIO,,01/04/2015, 310 , 140 
,B00280,FLEET RADIO DISPATCH CORP.,,01/04/2015, 69 , 35 
,B00310,WATSON CAR SERVICE INC.,,01/04/2015," 1,539 ", 131 
,B00381,BELL RADIO INC,,01/04/2015, 71 , 34 
,B00412,NYC 2 WAY INTERNATIONAL LTD,,01/04/2015, 102 , 22 
,B00448,DIAL CAR INC.,,01/04/2015, 2 , 2 
,B00457,PREMIUM BRONX CORP,,01/04/2015," 1,082 ", 98 
,B00477,INTA-BORO ACRES INC,,01/04/2015, 104 , 51 
,B00552,HINO-MARU ENTERPRISES INC.,,01/04/2015, 18 , 12 
,B00623,MANHATTAN INT'L LIMO NETWORK LLC,,01/04/2015, 3 , 1 
,B00837,CAREY LIMO N Y INC,,01/04/2015, 206 , 74 
,B00887,DIAL 7 CAR & LIMOUSINE SERVICE INC.,,01/04/2015," 2,197 ", 653 
,B00919,HARLEM CARS INC.,,01/04/2015, 556 , 70 
,B00948,510 CAR SERVICE CORP,,01/04/2015, 578 , 57 
,B01066,DOMINICANA RAD DISP INC,,01/04/2015, 713 , 83 
,B01083,BROAD DYCKMAN C/S INC,,01/04/2015, 805 , 84 
,B01087,ELITE LIMO PLUS INC,,01/04/2015, 149 , 91 
,B01148,EVELYN CAR SERVICE INC,,01/04/2015, 447 , 55 
,B01197,"TEL-A-CAR OF NEW YORK, LLC",,01/04/2015, 36 , 23 
,B01282,NEW LOTS C/S INC,,01/04/2015, 943 , 64 
,B01285,UNION RADIO DISPATCH INC,,01/04/2015," 1,374 ", 136 
,B01300,KENNEDY RAD DISP INC,,01/04/2015, 759 , 109 
,B01312,BROOKLYN RAD DISP INC,,01/04/2015, 442 , 79 
,B01315,"V.I.T. CAR SERVICE, INC.",,01/04/2015," 1,382 ", 130 
,B01341,A NEW DAY RAD DISP INC,,01/04/2015, 741 , 106 
,b01346,ARECIBO C/S INC,,01/04/2015, 668 , 108 
,B01367    ,"ROYAL DISPATCH SERVICES, INC.",,01/04/2015, 37 , 23 
,B01386,FENIX CAR SVCE CORP,,01/04/2015," 2,107 ", 176 
,B01522,"STM ENTERPRISES,INC",,01/04/2015, 62 , 12 
,B01651,U.P.S. RADIO DISPATCH CORP.,,01/04/2015, 378 , 51 
,B01777,PREMIUM RADIO DISP & MULTI SVC,,01/04/2015, 688 , 114 
,B01848,GRAND LIMO & CAR SERVICE INC.,,01/04/2015, 11 , -   
,B01877,U.S.A. LIMO. INC.,,01/04/2015, 103 , 53 
,B01899,"ALLSTATE PRIVATE CAR & LIMO,INC",,01/04/2015, 767 , 72 
,B01949,FIRST CLASS OF NEW YORK INC.,,01/04/2015, 1 , 1 
,B01984,NY 88 EXPRESS CORP.,,01/04/2015, 60 , 30 
,B01990,SUK INCORPORATED,,01/04/2015, 38 , 14 
,B02003,"AVALON CORPORATE CAR,INC.",,01/04/2015, 48 , 36 
,B02022,GOLD SEAL CAR & LIMO INC.,,01/04/2015, 25 , 11 
,B02096,"CET GROUP, INC",,01/04/2015, 3 , 3 
,B02107,APOLLO RADIO DISPATCH INC.,,01/04/2015, 683 , 79 
,B02120,HARRISON GLOBAL LLC,,01/04/2015, 103 , 46 
,B02147,"MITA LIMOUSINE, INC.",,01/04/2015, 26 , 7 
,B02285,"VALERA GLOBAL, INC.",,01/04/2015, 48 , 28 
,B02475,ECKFORD LITE CAR & LIMO INC.,,01/04/2015, 11 , 6 
,B02513,"INTABORO PREMIERE TRANSP. SVCS., INC.",,01/04/2015, 3 , 2 
,B02566,GSL LIMOUSINES CORP.,,01/04/2015, 4 , 4 
,B02569,GOGREENRIDE INC.,,01/04/2015, 50 , 1 
,B02653,NEW COLLEGE CAR SVCE INC,,01/04/2015," 1,069 ", 108 
,B02715,GROUNDANYWHERE LLC,,01/04/2015, 138 , 52 
,B00013,LOVE CORP CAR INC,,01/05/2015, 292 , 99 
,B00014,NY ONE CORP CAR INC,,01/05/2015, 441 , 144 
,B00029,COMMUNITY CAR SVC CORP,,01/05/2015," 1,174 ", 46 
,B00053,CHARGE AND RIDE INC,,01/05/2015, 72 , 50 
,B00095,LIBERTY CAR SERVICE INC.,,01/05/2015, 399 , 77 
,B00221,PROFESSIONAL CAR SERVICE INC,,01/05/2015, 524 , 79 
,B00227,"PARK WEST EXEC. SERVICES, INC.",,01/05/2015, 326 , 134 
,B00248,YELLOWSTONE TRANSPORTATION INC.,,01/05/2015," 1,176 ", 126 
,B00254,XYZ TWO WAY RADIO,,01/05/2015, 942 , 296 
,B00280,FLEET RADIO DISPATCH CORP.,,01/05/2015, 222 , 81 
,B00310,WATSON CAR SERVICE INC.,,01/05/2015," 1,664 ", 142 
,B00381,BELL RADIO INC,,01/05/2015, 220 , 76 
,B00412,NYC 2 WAY INTERNATIONAL LTD,,01/05/2015, 348 , 76 
,B00448,DIAL CAR INC.,,01/05/2015, 7 , 4 
,B00457,PREMIUM BRONX CORP,,01/05/2015," 1,112 ", 116 
,B00477,INTA-BORO ACRES INC,,01/05/2015, 440 , 147 
,B00552,HINO-MARU ENTERPRISES INC.,,01/05/2015, 22 , 17 
,B00623,MANHATTAN INT'L LIMO NETWORK LLC,,01/05/2015, 16 , 6 
,B00837,CAREY LIMO N Y INC,,01/05/2015, 313 , 116 
,B00887,DIAL 7 CAR & LIMOUSINE SERVICE INC.,,01/05/2015," 2,427 ", 761 
,B00919,HARLEM CARS INC.,,01/05/2015, 587 , 68 
,B00948,510 CAR SERVICE CORP,,01/05/2015, 595 , 61 
,B01066,DOMINICANA RAD DISP INC,,01/05/2015, 685 , 87 
,B01083,BROAD DYCKMAN C/S INC,,01/05/2015, 798 , 97 
,B01087,ELITE LIMO PLUS INC,,01/05/2015, 559 , 230 
,B01148,EVELYN CAR SERVICE INC,,01/05/2015, 397 , 58 
,B01197,"TEL-A-CAR OF NEW YORK, LLC",,01/05/2015, 202 , 69 
,B01282,NEW LOTS C/S INC,,01/05/2015," 1,080 ", 70 
,B01285,UNION RADIO DISPATCH INC,,01/05/2015," 1,264 ", 149 
,B01300,KENNEDY RAD DISP INC,,01/05/2015, 802 , 113 
,B01312,BROOKLYN RAD DISP INC,,01/05/2015, 865 , 106 
,B01313,JOY CAR SERVICES INC.,,01/05/2015, 11 , 11 
,B01315,"V.I.T. CAR SERVICE, INC.",,01/05/2015," 1,287 ", 141 
,B01341,A NEW DAY RAD DISP INC,,01/05/2015," 1,194 ", 153 
,b01346,ARECIBO C/S INC,,01/05/2015, 773 , 113 
,B01367    ,"ROYAL DISPATCH SERVICES, INC.",,01/05/2015, 190 , 63 
,B01386,FENIX CAR SVCE CORP,,01/05/2015," 1,985 ", 184 
,B01522,"STM ENTERPRISES,INC",,01/05/2015, 87 , 15 
,B01651,U.P.S. RADIO DISPATCH CORP.,,01/05/2015, 386 , 50 
,B01777,PREMIUM RADIO DISP & MULTI SVC,,01/05/2015, 673 , 126 
,B01848,GRAND LIMO & CAR SERVICE INC.,,01/05/2015, 8 , -   
,B01877,U.S.A. LIMO. INC.,,01/05/2015, 257 , 105 
,B01899,"ALLSTATE PRIVATE CAR & LIMO,INC",,01/05/2015," 1,200 ", 111 
,B01949,FIRST CLASS OF NEW YORK INC.,,01/05/2015, 45 , 23 
,B01984,NY 88 EXPRESS CORP.,,01/05/2015, 479 , 94 
,B01990,SUK INCORPORATED,,01/05/2015, 78 , 32 
,B02003,"AVALON CORPORATE CAR,INC.",,01/05/2015, 147 , 75 
,B02022,GOLD SEAL CAR & LIMO INC.,,01/05/2015, 65 , 26 
,B02096,"CET GROUP, INC",,01/05/2015, 19 , 13 
,B02107,APOLLO RADIO DISPATCH INC.,,01/05/2015, 692 , 87 
,B02120,HARRISON GLOBAL LLC,,01/05/2015, 213 , 76 
,B02147,"MITA LIMOUSINE, INC.",,01/05/2015, 42 , 10 
,B02183,BANGLA CAR & LIMO. SERVICE INC.,,01/05/2015, 10 , 10 
,B02285,"VALERA GLOBAL, INC.",,01/05/2015, 139 , 72 
,B02475,ECKFORD LITE CAR & LIMO INC.,,01/05/2015, 16 , 8 
,B02513,"INTABORO PREMIERE TRANSP. SVCS., INC.",,01/05/2015, 20 , 7 
,B02566,GSL LIMOUSINES CORP.,,01/05/2015, 6 , 5 
,B02569,GOGREENRIDE INC.,,01/05/2015, 122 , 1 
,B02653,NEW COLLEGE CAR SVCE INC,,01/05/2015," 1,015 ", 110 
,B02715,GROUNDANYWHERE LLC,,01/05/2015, 195 , 60 
,B00013,LOVE CORP CAR INC,,01/06/2015, 414 , 107 
,B00014,NY ONE CORP CAR INC,,01/06/2015, 593 , 159 
,B00029,COMMUNITY CAR SVC CORP,,01/06/2015," 1,181 ", 50 
,B00053,CHARGE AND RIDE INC,,01/06/2015, 94 , 53 
,B00095,LIBERTY CAR SERVICE INC.,,01/06/2015, 420 , 79 
,B00221,PROFESSIONAL CAR SERVICE INC,,01/06/2015, 553 , 76 
,B00227,"PARK WEST EXEC. SERVICES, INC.",,01/06/2015, 417 , 141 
,B00248,YELLOWSTONE TRANSPORTATION INC.,,01/06/2015," 1,082 ", 125 
,B00254,XYZ TWO WAY RADIO,,01/06/2015," 1,199 ", 288 
,B00280,FLEET RADIO DISPATCH CORP.,,01/06/2015, 213 , 77 
,B00310,WATSON CAR SERVICE INC.,,01/06/2015," 1,762 ", 148 
,B00381,BELL RADIO INC,,01/06/2015, 285 , 82 
,B00412,NYC 2 WAY INTERNATIONAL LTD,,01/06/2015, 347 , 74 
,B00448,DIAL CAR INC.,,01/06/2015, 7 , 5 
,B00457,PREMIUM BRONX CORP,,01/06/2015," 1,259 ", 112 
,B00477,INTA-BORO ACRES INC,,01/06/2015, 493 , 140 
,B00552,HINO-MARU ENTERPRISES INC.,,01/06/2015, 29 , 23 
,B00623,MANHATTAN INT'L LIMO NETWORK LLC,,01/06/2015, 15 , 7 
,B00837,CAREY LIMO N Y INC,,01/06/2015, 381 , 141 
,B00887,DIAL 7 CAR & LIMOUSINE SERVICE INC.,,01/06/2015," 2,246 ", 682 
,B00919,HARLEM CARS INC.,,01/06/2015, 621 , 71 
,B00948,510 CAR SERVICE CORP,,01/06/2015, 608 , 61 
,B01066,DOMINICANA RAD DISP INC,,01/06/2015, 747 , 84 
,B01083,BROAD DYCKMAN C/S INC,,01/06/2015, 773 , 91 
,B01087,ELITE LIMO PLUS INC,,01/06/2015, 759 , 228 
,B01148,EVELYN CAR SERVICE INC,,01/06/2015, 393 , 56 
,B01197,"TEL-A-CAR OF NEW YORK, LLC",,01/06/2015, 265 , 83 
,B01282,NEW LOTS C/S INC,,01/06/2015, 955 , 67 
,B01285,UNION RADIO DISPATCH INC,,01/06/2015," 1,309 ", 146 
,B01300,KENNEDY RAD DISP INC,,01/06/2015, 733 , 112 
,B01312,BROOKLYN RAD DISP INC,,01/06/2015, 930 , 103 
,B01313,JOY CAR SERVICES INC.,,01/06/2015, 13 , 13 
,B01315,"V.I.T. CAR SERVICE, INC.",,01/06/2015," 1,438 ", 145 
,B01341,A NEW DAY RAD DISP INC,,01/06/2015," 1,476 ", 157 
,b01346,ARECIBO C/S INC,,01/06/2015, 842 , 107 
,B01367    ,"ROYAL DISPATCH SERVICES, INC.",,01/06/2015, 214 , 67 
,B01386,FENIX CAR SVCE CORP,,01/06/2015," 2,251 ", 191 
,B01522,"STM ENTERPRISES,INC",,01/06/2015, 88 , 16 
,B01651,U.P.S. RADIO DISPATCH CORP.,,01/06/2015, 369 , 53 
,B01777,PREMIUM RADIO DISP & MULTI SVC,,01/06/2015, 708 , 123 
,B01848,GRAND LIMO & CAR SERVICE INC.,,01/06/2015, 9 , -   
,B01877,U.S.A. LIMO. INC.,,01/06/2015, 369 , 120 
,B01899,"ALLSTATE PRIVATE CAR & LIMO,INC",,01/06/2015," 1,240 ", 123 
,B01949,FIRST CLASS OF NEW YORK INC.,,01/06/2015, 55 , 25 
,B01984,NY 88 EXPRESS CORP.,,01/06/2015, 475 , 91 
,B01990,SUK INCORPORATED,,01/06/2015, 104 , 25 
,B02003,"AVALON CORPORATE CAR,INC.",,01/06/2015, 198 , 74 
,B02022,GOLD SEAL CAR & LIMO INC.,,01/06/2015, 88 , 27 
,B02096,"CET GROUP, INC",,01/06/2015, 11 , 8 
,B02107,APOLLO RADIO DISPATCH INC.,,01/06/2015, 743 , 88 
,B02120,HARRISON GLOBAL LLC,,01/06/2015, 242 , 90 
,B02147,"MITA LIMOUSINE, INC.",,01/06/2015, 36 , 8 
,B02183,BANGLA CAR & LIMO. SERVICE INC.,,01/06/2015, 8 , 8 
,B02285,"VALERA GLOBAL, INC.",,01/06/2015, 201 , 76 
,B02475,ECKFORD LITE CAR & LIMO INC.,,01/06/2015, 14 , 8 
,B02513,"INTABORO PREMIERE TRANSP. SVCS., INC.",,01/06/2015, 15 , 4 
,B02566,GSL LIMOUSINES CORP.,,01/06/2015, 8 , 7 
,B02569,GOGREENRIDE INC.,,01/06/2015, 151 , 1 
,B02653,NEW COLLEGE CAR SVCE INC,,01/06/2015," 1,116 ", 105 
,B02715,GROUNDANYWHERE LLC,,01/06/2015, 233 , 68 
,B00013,LOVE CORP CAR INC,,01/07/2015, 412 , 106 
,B00014,NY ONE CORP CAR INC,,01/07/2015, 638 , 164 
,B00029,COMMUNITY CAR SVC CORP,,01/07/2015, 814 , 44 
,B00053,CHARGE AND RIDE INC,,01/07/2015, 117 , 63 
