LocationID,Borough,Zone
104,Manhattan,Governor's Island/Ellis Island/Liberty Island
105,Manhattan,Governor's Island/Ellis Island/Liberty Island
106,Brooklyn,Gowanus
107,Manhattan,Gramercy
108,Brooklyn,Gravesend
109,Staten Island,Great Kills
110,Staten Island,Great Kills Park
111,Brooklyn,Green-Wood Cemetery
112,Brooklyn,Greenpoint
113,Manhattan,Greenwich Village North
114,Manhattan,Greenwich Village South
115,Staten Island,Grymes Hill/Clifton
116,Manhattan,Hamilton Heights
117,Queens,Hammels/Arverne
118,Staten Island,Heartland Village/Todt Hill
119,Bronx,Highbridge
120,Manhattan,Highbridge Park
121,Queens,Hillcrest/Pomonok
122,Queens,Hollis
123,Brooklyn,Homecrest
124,Queens,Howard Beach
125,Manhattan,Hudson Sq
126,Bronx,Hunts Point
127,Manhattan,Inwood
128,Manhattan,Inwood Hill Park
129,Queens,Jackson Heights
130,Queens,Jamaica
131,Queens,Jamaica Estates
132,Queens,JFK Airport
133,Brooklyn,Kensington
134,Queens,Kew Gardens
135,Queens,Kew Gardens Hills
136,Bronx,Kingsbridge Heights
137,Manhattan,Kips Bay
138,Queens,LaGuardia Airport
139,Queens,Laurelton
140,Manhattan,Lenox Hill East
141,Manhattan,Lenox Hill West
142,Manhattan,Lincoln Square East
143,Manhattan,Lincoln Square West
144,Manhattan,Little Italy/NoLiTa
145,Queens,Long Island City/Hunters Point
146,Queens,Long Island City/Queens Plaza
147,Bronx,Longwood
148,Manhattan,Lower East Side
149,Brooklyn,Madison
150,Brooklyn,Manhattan Beach
151,Manhattan,Manhattan Valley
152,Manhattan,Manhattanville
153,Manhattan,Marble Hill
154,Brooklyn,Marine Park/Floyd Bennett Field
155,Brooklyn,Marine Park/Mill Basin
156,Staten Island,Mariners Harbor
157,Queens,Maspeth
158,Manhattan,Meatpacking/West Village West
159,Bronx,Melrose South
160,Queens,Middle Village
161,Manhattan,Midtown Center
162,Manhattan,Midtown East
163,Manhattan,Midtown North
164,Manhattan,Midtown South
165,Brooklyn,Midwood
166,Manhattan,Morningside Heights
167,Bronx,Morrisania/Melrose
168,Bronx,Mott Haven/Port Morris
169,Bronx,Mount Hope
170,Manhattan,Murray Hill
171,Queens,Murray Hill-Queens
172,Staten Island,New Dorp/Midland Beach
173,Queens,North Corona
174,Bronx,Norwood
175,Queens,Oakland Gardens
176,Staten Island,Oakwood
177,Brooklyn,Ocean Hill
178,Brooklyn,Ocean Parkway South
179,Queens,Old Astoria
180,Queens,Ozone Park
181,Brooklyn,Park Slope
182,Bronx,Parkchester
183,Bronx,Pelham Bay
184,Bronx,Pelham Bay Park
185,Bronx,Pelham Parkway
186,Manhattan,Penn Station/Madison Sq West
187,Staten Island,Port Richmond
188,Brooklyn,Prospect-Lefferts Gardens
189,Brooklyn,Prospect Heights
190,Brooklyn,Prospect Park
191,Queens,Queens Village
192,Queens,Queensboro Hill
193,Queens,Queensbridge/Ravenswood
194,Manhattan,Randalls Island
195,Brooklyn,Red Hook
196,Queens,Rego Park
197,Queens,Richmond Hill
198,Queens,Ridgewood
199,Bronx,Rikers Island
200,Bronx,Riverdale/North Riverdale/Fieldston
201,Queens,Rockaway Park
202,Manhattan,Roosevelt Island
203,Queens,Rosedale
204,Staten Island,Rossville/Woodrow
205,Queens,Saint Albans
206,Staten Island,Saint George/New Brighton
207,Queens,Saint Michaels Cemetery/Woodside
208,Bronx,Schuylerville/Edgewater Park
209,Manhattan,Seaport
210,Brooklyn,Sheepshead Bay
211,Manhattan,SoHo
212,Bronx,Soundview/Bruckner
213,Bronx,Soundview/Castle Hill
214,Staten Island,South Beach/Dongan Hills
215,Queens,South Jamaica
216,Queens,South Ozone Park
217,Brooklyn,South Williamsburg
218,Queens,Springfield Gardens North
219,Queens,Springfield Gardens South
220,Bronx,Spuyten Duyvil/Kingsbridge
221,Staten Island,Stapleton
222,Brooklyn,Starrett City
223,Queens,Steinway
224,Manhattan,Stuy Town/Peter Cooper Village
225,Brooklyn,Stuyvesant Heights
226,Queens,Sunnyside
227,Brooklyn,Sunset Park East
228,Brooklyn,Sunset Park West
229,Manhattan,Sutton Place/Turtle Bay North
230,Manhattan,Times Sq/Theatre District
231,Manhattan,TriBeCa/Civic Center
232,Manhattan,Two Bridges/Seward Park
233,Manhattan,UN/Turtle Bay South
234,Manhattan,Union Sq
235,Bronx,University Heights/Morris Heights
236,Manhattan,Upper East Side North
237,Manhattan,Upper East Side South
238,Manhattan,Upper West Side North
239,Manhattan,Upper West Side South
240,Bronx,Van Cortlandt Park
241,Bronx,Van Cortlandt Village
242,Bronx,Van Nest/Morris Park
243,Manhattan,Washington Heights North
244,Manhattan,Washington Heights South
245,Staten Island,West Brighton
246,Manhattan,West Chelsea/Hudson Yards
247,Bronx,West Concourse
248,Bronx,West Farms/Bronx River
249,Manhattan,West Village
250,Bronx,Westchester Village/Unionport
251,Staten Island,Westerleigh
252,Queens,Whitestone
253,Queens,Willets Point
254,Bronx,Williamsbridge/Olinville
255,Brooklyn,Williamsburg (North Side)
256,Brooklyn,Williamsburg (South Side)
257,Brooklyn,Windsor Terrace
258,Queens,Woodhaven
259,Bronx,Woodlawn/Wakefield
260,Queens,Woodside
261,Manhattan,World Trade Center
262,Manhattan,Yorkville East
263,Manhattan,Yorkville West
264,Unknown,Unknown
265,Unknown,Unknown
